IP: 127.0.0.1 | PORT: 58138 | CONNECT TIME: Tue Sep 17 01:17:28 2019 | DISCONNECT TIME: Tue Sep 17 01:17:31 2019
IP: 127.0.0.1 | PORT: 58226 | CONNECT TIME: Tue Sep 17 01:18:10 2019 | DISCONNECT TIME: Tue Sep 17 01:18:12 2019
IP: 127.0.0.1 | PORT: 58235 | CONNECT TIME: Tue Sep 17 01:18:14 2019 | DISCONNECT TIME: Tue Sep 17 01:18:19 2019
IP: 127.0.0.1 | PORT: 60271 | CONNECT TIME: Tue Sep 17 01:34:09 2019 | DISCONNECT TIME: Tue Sep 17 01:34:17 2019
IP: 127.0.0.1 | PORT: 60971 | CONNECT TIME: Tue Sep 17 01:39:35 2019 | DISCONNECT TIME: Tue Sep 17 01:39:39 2019
IP: 127.0.0.1 | PORT: 60986 | CONNECT TIME: Tue Sep 17 01:39:41 2019 | DISCONNECT TIME: Tue Sep 17 01:39:43 2019
IP: 127.0.0.1 | PORT: 61018 | CONNECT TIME: Tue Sep 17 01:39:57 2019 | DISCONNECT TIME: Tue Sep 17 01:40:09 2019
IP: 127.0.0.1 | PORT: 61348 | CONNECT TIME: Tue Sep 17 01:42:41 2019 | DISCONNECT TIME: Tue Sep 17 01:42:42 2019
IP: 127.0.0.1 | PORT: 62009 | CONNECT TIME: Tue Sep 17 01:47:47 2019 | DISCONNECT TIME: Tue Sep 17 01:47:54 2019
IP: 127.0.0.1 | PORT: 62744 | CONNECT TIME: Tue Sep 17 01:53:43 2019 | DISCONNECT TIME: Tue Sep 17 01:53:49 2019
IP: 127.0.0.1 | PORT: 62924 | CONNECT TIME: Tue Sep 17 01:55:12 2019 | DISCONNECT TIME: Tue Sep 17 01:55:18 2019
IP: 127.0.0.1 | PORT: 62948 | CONNECT TIME: Tue Sep 17 01:55:23 2019 | DISCONNECT TIME: Tue Sep 17 01:55:26 2019
IP: 127.0.0.1 | PORT: 64017 | CONNECT TIME: Tue Sep 17 02:04:03 2019 | DISCONNECT TIME: Tue Sep 17 02:04:38 2019
IP: 127.0.0.1 | PORT: 49246 | CONNECT TIME: Tue Sep 17 02:16:16 2019 | DISCONNECT TIME: Tue Sep 17 02:16:25 2019
IP: 127.0.0.1 | PORT: 49291 | CONNECT TIME: Tue Sep 17 02:16:39 2019 | DISCONNECT TIME: Tue Sep 17 02:16:56 2019
IP: 127.0.0.1 | PORT: 50357 | CONNECT TIME: Tue Sep 17 02:24:45 2019 | DISCONNECT TIME: Tue Sep 17 02:25:04 2019
IP: 143.106.16.163 | PORT: 37828 | CONNECT TIME: Mon Sep 30 21:08:52 2019 | DISCONNECT TIME: Mon Sep 30 21:09:55 2019
IP: 143.106.16.163 | PORT: 37814 | CONNECT TIME: Mon Sep 30 21:08:53 2019 | DISCONNECT TIME: Mon Sep 30 21:09:55 2019
IP: 143.106.16.163 | PORT: 37820 | CONNECT TIME: Mon Sep 30 21:08:55 2019 | DISCONNECT TIME: Mon Sep 30 21:09:55 2019
IP: 143.106.16.163 | PORT: 37884 | CONNECT TIME: Mon Sep 30 21:12:31 2019 | DISCONNECT TIME: Mon Sep 30 21:12:48 2019
IP: 143.106.16.163 | PORT: 37894 | CONNECT TIME: Mon Sep 30 21:12:31 2019 | DISCONNECT TIME: Mon Sep 30 21:12:48 2019
IP: 143.106.16.163 | PORT: 37892 | CONNECT TIME: Mon Sep 30 21:12:32 2019 | DISCONNECT TIME: Mon Sep 30 21:12:48 2019
IP: 143.106.16.163 | PORT: 37886 | CONNECT TIME: Mon Sep 30 21:12:32 2019 | DISCONNECT TIME: Mon Sep 30 21:12:48 2019
IP: 177.220.85.208 | PORT: 33872 | CONNECT TIME: Mon Sep 30 22:42:25 2019 | DISCONNECT TIME: Mon Sep 30 22:42:33 2019
IP: 177.220.85.208 | PORT: 33876 | CONNECT TIME: Mon Sep 30 22:42:42 2019 | DISCONNECT TIME: Mon Sep 30 22:42:56 2019
IP: 177.220.85.208 | PORT: 33882 | CONNECT TIME: Mon Sep 30 22:43:40 2019 | DISCONNECT TIME: Mon Sep 30 22:43:48 2019
IP: 127.0.0.1 | PORT: 64075 | CONNECT TIME: Tue Oct  1 20:38:47 2019 | DISCONNECT TIME: Tue Oct  1 20:38:52 2019
IP: 127.0.0.1 | PORT: 64149 | CONNECT TIME: Tue Oct  1 20:39:23 2019 | DISCONNECT TIME: Tue Oct  1 20:39:31 2019
